@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~

STATISTICS:

Equipped abilities:
– Open Locks: -5%
– Find Traps: -5%
– Pick Pockets: -20%
– Move Silently: -10%
– Spellcasting is not disabled

Armor Class: 5 (3 vs. slashing, 7 vs. crushing)
Requires:
 5 Strength

Weight: 7《精靈精緻而堅固的手工讓他們得以設計許多美而堅固的物品。其中之一就是精靈鎖子甲，它可以穿在一般的衣服下面，但是讓人察覺不出它的存在。加上它的重量輕，因此盜賊和戰士兼法師可以穿它，而不受限制。

資料資料：

裝備能力：
-開鎖技術：-5%
-尋找陷阱：-5%
-偷盜技巧：-20%
-無聲移動：-10%
-不影響施法

防禦等級：5（對揮砍攻擊為3，對鈍擊攻擊為7）
需求：
力量5

重量：7》~
@39561  = ~Woven by the finest of elven craftsmen, this mail feels more akin to cloth than to metal. The armor may be worn by Thieves with few penalties and by Fighter/Mages without removing their spellcasting ability.

STATISTICS:

Equipped abilities:
– Open Locks: -5%
– Find Traps: -5%
– Pick Pockets: -20%
– Move Silently: -10%
– Spellcasting is not disabled

Armor Class: 4 (2 vs. slashing, 6 vs. crushing)
Requires:
 5 Strength

Weight: 8《以最優秀的精靈工藝製成的盔甲，感覺起來像是衣服，而不像金屬。盜賊可以穿戴這件盔甲，戰士兼法師也可以穿，而不會失去施法能力。

資料資料：

裝備能力：
-開鎖技術：-5%
-尋找陷阱：-5%
-偷盜技巧：-20%
-無聲移動：-10%
-不影響施法

防禦等級：4（對揮砍攻擊為2，對鈍擊攻擊為6）
需求：
力量5

重量：8》~
@39562  = ~This light but strong mail is of sylvan elf construction, and therefore its elegance is only exceeded by its rarity. Normally granted only to especially brave elves, seldom is this armor be found outside of a wood elf tribe, and rarer still on someone not of elven lineage.

STATISTICS:

Equipped abilities:
– Open Locks: -5%
– Find Traps: -5%
– Pick Pockets: -20%
– Move Silently: -10%
– Spellcasting is not disabled

Armor Class: 3 (1 vs. slashing, 5 vs. crushing)
Requires:
 5 Strength

Weight: 10《這件輕而堅固的盔甲是樹精靈製造的，因此很罕見。一般來說，這種護甲只送給特別勇敢的精靈，很難得在一個木精靈部落之外見到，更難得看到非精靈族群使用它。

資料資料：

裝備能力：
-開鎖技術：-5%
-尋找陷阱：-5%
-偷盜技巧：-20%
-無聲移動：-10%
-不影響施法

防禦等級：3（對揮砍攻擊為1，對鈍擊攻擊為5）
需求：
力量5

重量：10》~
@39563  = ~The Bards of Melody were a small band of half-elf bardic warriors who entertained and defended scattered elven communities throughout Calimshan. Enchantments allowed only minstrels to wear their armor, the magical links sliding together to produce beautiful melodies as they danced or fought. Unfortunately, the Bards of Melody were disbanded hundreds of years ago, and the secret of "playing" the armor faded with them.

STATISTICS:

Equipped abilities:
– Open Locks: -5%
– Find Traps: -5%
– Pick Pockets: -20%
– Move Silently: -10%
– Spellcasting is not disabled

Armor Class: 2 (0 vs. slashing, 4 vs. crushing)
Requires:
 5 Strength

Weight: 12《「旋律詩人」是一小群半精靈詩人戰士，他們為散佈在卡麗杉各地的精靈社區提供娛樂及防禦。魔法限制了這種護甲僅能由吟遊詩人來穿戴；在他們舞蹈或戰鬥時，護甲上的魔法彼此串連，激盪出美麗的旋律出來。不幸的是，「旋律詩人」在數百年前解散了，而如何「演奏」這種護甲的秘密亦隨之消失。

資料資料：

裝備能力：
-開鎖技術：-5%
-尋找陷阱：-5%
-偷盜技巧：-20%
-無聲移動：-10%
-不影響施法

防禦等級：2（對揮砍攻擊為0，對鈍擊攻擊為4）
需求：
力量5

重量：12》~
@39564  = ~The lore of this suit is difficult to determine, either due to the exotic circumstances from which it sprang or the wish of its previous owner to conceal its location. Secrecy would certainly be desirable, as even rumors of such a mail as this could provoke deadly interest. It is the pinnacle of elven craft and a truly blessed item.

STATISTICS:

Equipped abilities:
– Open Locks: -5%
– Find Traps: -5%
– Pick Pockets: -20%
– Move Silently: -10%
– Spellcasting is not disabled

Armor Class: 1 (-1 vs. slashing, 3 vs. crushing)
Requires:
 5 Strength

Weight: 15《這件護具的來源很難判定，若不是因為它的出身很怪，就是因為它的前任擁有者想要隱藏它的位置。罕見為寶，甚至連關於這種護具的傳說都會引起很大的興趣。這是精靈的手工，而且確實受到祝福的物品。

資料資料：

裝備能力：
-開鎖技術：-5%
-尋找陷阱：-5%
-偷盜技巧：-20%
-無聲移動：-10%
-不影響施法

防禦等級：1（對揮砍攻擊為-1，對鈍擊攻擊為3）
需求：
力量5

重量：15》~
@39565  = ~Instead of metal strips, this armor uses wyvern scales bound to a chain backing by means of a magical fire. The resulting armor is ash-gray in color and more flexible than standard splint mail. A ranger, Usher Skacan, made this armor after slaying several wyverns that were killing all the deer and elk in his forest.

STATISTICS:

Armor Class: 2 (0 vs. crushing, 1 vs. piercing and missile)
Requires:
 8 Strength

Weight: 18《這件護具未使用金屬板，而是用魔法火焰固定的翼龍鱗片。最後製成的護甲呈灰色，而且更具彈性。遊俠亞瑟·斯卡坎在殺死了危害他的森林的幾隻翼龍後製造了這件護甲。

資料資料：

防禦等級：2（對鈍擊攻擊為0，對穿刺和遠程攻擊為1）
需求：
力量8

重量：18》~
@39566  = ~This was the armor of Seffer Ekr, and a sign of the goddess Mielikki's favor. She had rewarded the ranger's loyalty with the promise that he would never die in battle, and he defied death for many years, holding orcish hordes back from his home forest. A heart attack claimed him when his time was done, not an enemy's blade.

STATISTICS:

Equipped abilities:
– Saving Throws: +1

Armor Class: 1 (-1 vs. crushing, 0 vs. piercing and missile)
Requires:
 8 Strength

Weight: 15《這是瑟費·厄克的護具，也是梅莉凱女神偏愛的表現。她給這位忠誠的遊俠的報酬就是保證他絕對不會死於戰場上，而他也逃離死亡多年，擊敗攻擊他的森林的獸人部落。當他的時間來到時，心臟病奪走他的生命，而不是敵人的刀。

資料資料：

裝備能力：
-豁免檢定：+1

防禦等級：1（對鈍擊攻擊為-1，對穿刺和遠程攻擊為0）
需求：
力量8

重量：15》~
@39567  = ~This helm is made of polished steel and set with diamonds, rubies, and fire opals. The gems glow with an internal light, the source of which can only be magical. The helm makes the wearer resistant to fire as well as giving the wearer some spell abilities. These include Fireball, Prismatic Spray, and Sunray.

STATISTICS:

Equipped abilities:
– Fire Resistance: +40%
– Protects against critical hits

Charge abilities:
– Fireball once per day
  Damage: 6d6 fire (Save vs. Wand for half)
  Range: 90 ft.
  Area: 15-ft. radius

– Prismatic Spray once per day
  Effects vary as per the 7th-level wizard spell

– Sunray once per day
  Damage: 3d6 magic (Save vs. Spell or be blinded for 1 turn)
  Undead: An additional 1d6 points of fire damage per level of caster (Save vs. Spell or be destroyed)
  Range: 20 ft.
  Area: 15-ft. radius

Weight: 2《這頂頭盔是用打磨得晶亮的金屬製成，並鑲有鑽石、紅寶石和火色蛋白石。這些寶石由內向外透發著的光芒，光源毫無疑問地出自於內蘊的魔法。這頂頭盔使得穿戴者能夠抗火，並使穿戴者獲得部分施法能力，包括了火球術、虹光噴射及陽炎爆。

資料資料：

裝備能力：
-火焰抗性：+40%
-防護致命一擊

充能能力：
-每天一次火球術
	傷害：6d6火焰傷害（通過對法杖的豁免檢定則減半）
	有效距離：90呎
	影響範圍：半徑15呎

-每天一次虹光噴射
	效果以7級法師計算

-每天一次陽炎爆
	傷害：3d6（未通過對法術的豁免檢定則目盲1回合）
	不死生物：額外受到施法者每等級1d6的傷害（未通過對法術的豁免檢定則被摧毀）
	有效距離：20呎
	影響範圍：半徑15呎

重量：2》~
@39568  = ~The mad necromancer-lich N'Ashtar Nikadeemus forged this helmet from the bones of his own parents. His highest ranked general would wear it when he rode into battle, using it to instantly slay the commanders of the opposing army. After that, the skeletal armies of N'Ashtar would overrun their demoralized enemies. When N'Ashtar finally fell, the Skull of Death was supposedly destroyed.

STATISTICS:

Equipped abilities:
– Protects against critical hits

Charge abilities:
– Death Spell once per day
  Slays creatures with fewer than 9 Hit Dice
  Range: 50 ft.
  Area of Effect: 15-ft. radius

Weight: 2《瘋狂的妖術師巫妖那許塔·尼卡狄姆斯用他父母的骨頭製造這件頭盔。他手下最高階的將軍可以穿戴它進入戰場，用它立刻殺死敵軍的指揮官。此後那許塔的骷髏軍隊就會擊敗士氣大敗的敵人。當那許塔死亡時，這件頭盔應該也被毀掉了。

資料資料：

裝備能力：
-防護致命一擊

充能能力：
-每天一次死亡術
	立刻殺死生命骰低於9的生物
	有效距離：50呎
	影響範圍：半徑15呎

重量：2》~
@39569  = ~Legend tells us that this particular type of ioun stone is crafted with the enslaved soul of a troll. This pearly white ioun stone will grant the wearer the ability to regenerate at a rate of 1 Hit Point every 5 rounds.

STATISTICS:

Equipped abilities:
– Regenerate 1 Hit Point every 5 rounds

Weight: 0《傳說中，這種艾歐石是用囚禁巨魔的靈魂而煉製而成的。這顆珍珠白的艾歐石可以讓配戴者每5輪恢復1點生命值。

資料資料：

裝備能力：
-每5輪恢復1點生命值

重量：0》~
@39570  = ~This ioun stone glows with a dusty rose hue, hinting at calming images and sensations. While pleasing, it does not appear to enhance the basic protection enchantment upon it.

STATISTICS:

Equipped abilities:
– Armor Class: +1

Weight: 0《這顆艾歐石發出暗紅的光，隱隱散出令人平靜的感受。雖然令人愉快，但是看起來它並沒有加強其上的基本防護魔法。

資料資料：

裝備能力：
-防禦等級：+1

重量：0》~
@39571  = ~On his deathbed, aged hero Rigar Trueblood begged one last request of his mage companion Spectorial: that his skill and fortitude as a warrior live on. The reluctant friend consented and transferred these traits to an item, knowing the warrior's soul would then be lacking them. This pale green ioun stone now holds these essences and grants the owner Trueblood's health and skill.

STATISTICS:

Equipped abilities:
– THAC0: +1
– Hit Points: +10%

Weight: 0《年老的英雄裡加·真血在去世之前，對法師同伴史培克托裡歐提出他最後一項要求：讓他的戰技與毅力能以戰士的模樣繼續活下去。儘管知道如此一來他朋友的戰士之魂將缺乏這些，不過這位朋友仍然不情願地答應了，並將這些屬性轉移到物品上。這顆淺綠色的艾歐石擁有這些本質，讓擁有者獲得真血的健康和技能。

資料資料：

裝備能力：
-零級命中值：+1
-生命值：+10%

重量：0》~
@39572  = ~The skillful hand of the warlock Wormsor carefully worked several dragon scales into this powerful helmet. Red, white, and green scales overlap, protecting the wearer from normal blows as well as fire, cold, and electricity. It is hard to determine whether the benefits originate within the scales or the spells of the mage.

STATISTICS:

Equipped abilities:
– Protects against critical hits
– Cold Resistance: +25%
– Fire Resistance: +25%
– Electrical Resistance: +25%

Weight: 2《巫師翁瑟的手小心地把數片龍鱗置入這件強大的頭盔裡。紅、白及綠鱗片交疊，保護穿戴者不怕一般的攻擊和火、冷及電力傷害。很難判斷這些好處是來自於鱗片，還是法師的法術。

資料資料：

裝備能力：
-防護致命一擊
-寒冷抗性：+25%
-火焰抗性：+25%
-電力抗性：+25%

重量：2》~
@39573  = ~Another powerful item created by the warlock Wormsor, this shield consists of red dragon skin stretched over a steel frame. Green and white dragon scales adorn the red background in a pattern that, when looked at in the right way, reveals the face of an ancient dragon.

STATISTICS:

Equipped abilities:
– Armor Class: +3
– Cold Resistance: +25%
– Fire Resistance: +25%
– Electrical Resistance: +25%

Requires:
 12 Strength

Weight: 5《另一件由巫師翁瑟製造的強大物品，這面盾片上有紅龍皮覆在鋼架上。綠色和白色的龍鱗裝置著紅色的背景，若從正確的角度觀看，就會看到一頭古龍的臉。

資料資料：

裝備能力：
-防禦等級：+3
-寒冷抗性：+25%
-火焰抗性：+25%
-電力抗性：+25%

需求：
力量12

重量：5》~
@39574  = ~A century ago, astronomers noted an unexpected comet coming to earth offshore of the Sword Coast. An odd occurrence, it was made stranger by the lightweight fragments of metal found days later by blacksmith Huffum Fuiruim, who cared little about celestial events. He fashioned the bulk of it into this shield, though the forging took months and the aid of several enchanters. "From the heavens? Nay, from my hammer!"

STATISTICS:

Equipped abilities:
– Armor Class: +5

Requires:
 12 Strength

Weight: 3《一個世紀之前，占星學家記錄會有一顆意外的彗星落在劍灣海岸上。這件事已經夠奇怪了，但是更奇怪的是，鐵匠胡番·福林在幾天後找到的金屬碎片重量很輕。他用這些碎片製成這面盾牌，不過鑄造在幾個附魔師的協助下仍花了幾個月。「來自天堂？沒門，來自我的錘子！」

資料資料：

裝備能力：
-防禦等級：+5

需求：
力量12

重量：3》~
@39575  = ~This shield, as tall as a man, is aptly named. With it, Phil Pious, a paladin of the Most Noble Order of the Radiant Heart, once held a marauding battalion of hobgoblin and kobold archers at bay till they exhausted their arrows. As the shield is almost as useful in melee as it is at range, he then slew each and every creature.

STATISTICS:

Equipped abilities:
– Armor Class: +4, an additional +7 vs. missile attacks

Requires:
 15 Strength

Weight: 3《這塊盾牌一如其名的與人同高。菲爾·皮爾斯（一位至熱之心騎士團的聖武士）曾經憑藉著它在海灣邊與一整營巡邏中的大地精及狗頭人弓箭手對峙，直到它們把箭支用盡為止。並且由於這面盾牌在肉搏戰中的功能和防禦遠程武器一樣強大，因此接著他就殺死所有的生物。

資料資料：

裝備能力：
-防禦等級：+4，對遠程攻擊額外+7

需求：
力量15

重量：3》~
@39576  = ~Thought only a decoration from some forgotten festhall, this shield languished in the backroom of a shop until a young noble purchased it as parade armor. Its dormant enchantments were discovered when a later attempt on his life was foiled, as the shield reflected each attack back at the would-be assassins. Subsequent study has linked it to Myth Rhynn or perhaps some other ancient excavation. 

STATISTICS:

Equipped abilities:
– Armor Class: +2
– No protection against missile attacks
– Reflects missiles back at their user

Requires:
 4 Strength

Weight: 3《這面盾牌被人以為是裝飾品，放在一家商店的後面房間裡，直到一位年輕的貴族購買它當做遊行護甲。當他的生命受到威脅時，這面盾牌沉睡的法術才被發現：它把刺客的每一次攻擊都被反彈回去。後來的研究認為它和米斯萊恩有關，或是某個古代的遺跡。

資料資料：

裝備能力：
-防禦等級：+2
-對遠程攻擊無防禦加成
-將遠程攻擊反彈回發射者身上

需求：
力量4

重量：3》~
@39577  = ~Audn of the Field, Knight-Champion for the wizard Kekkim, carried this shield for most of his life. It protects the bearer from most forms of mind control, a benefit for a wizard who needed warrior allies to stay faithfully at his side. Both Kekkim and Audn have long since returned to the earth, leaving the shield to whomever might recover it from Kekkim's tower.

STATISTICS:

Equipped abilities:
– Armor Class: +3
– No protection against missile attacks
– Immunity to charm, confusion, domination, and hold

Requires:
 4 Strength

Weight: 2《法師奇金的朋友騎士烏登一生中的大部分時間都使用這面盾牌。它保護配戴者不受大部分的意志控制，對於需要戰士盟友的法師而言，有很大的幫助。奇金和烏登早就返回地面，把這面盾牌留在奇金的塔裡。

資料資料：

裝備能力：
-防禦等級：+3
-對遠程攻擊無防禦加成
-免疫魅惑、困惑、控制及定身

需求：
力量4

重量：2》~
@39578  = ~This odd shield was constructed by nomads that once inhabited the forest of Mir, a group long since absorbed into "civilized" society and forgotten. Examination reveals fine weaving of animal and human hair bound together by enchantment, though how this was done is lost to time.

STATISTICS:

Equipped abilities:
– Armor Class: +3
– Magic Resistance: +5% 

Requires:
 12 Strength

Weight: 5《這面奇特的盾牌是由遊牧民族製造，他們曾經住在米爾森林裡。調查顯示，動物和人類毛髮以魔法織在一起，不過作法早已經被人遺忘。

資料資料：

裝備能力：
-防禦等級：+3
-魔法抗力：+5%

需求：
力量12

重量：5》~
@39579  = ~Once a very powerful shield used by the clerics of Bane, most of the enchantments fled with their god's demise. The basic magical protection still remains, making it useful for any adventurer.

STATISTICS:

Equipped abilities:
– Armor Class: +4

Requires:
 12 Strength

Weight: 4《這曾經是一面非常強大的盾牌，由班恩的祭司們使用，大部分的法術都隨著其神祇的消失而消失。基本的魔法保護仍然存在，使它對任何冒險者而言都很有用。

資料資料：

裝備能力：
-防禦等級：+4

需求：
力量12

重量：4》~
@39580  = ~A standard magical shield given to elite troops and bodyguards, this particular shield is relatively new. Forged recently by Taerom Fuiruim of Beregost, this shield has few stories to tell. Perhaps it will take a brave young warrior performing legendary deeds while wearing it to finally give it a history.

STATISTICS:

Equipped abilities:
– Armor Class: +3

Requires:
 12 Strength

Weight: 5《這面盾牌相當新，是標準的魔法盾牌，賜給精英部隊和保鏢。它是最近才由泰龍·福隆所制，沒有什麼歷史可以傳頌。也許要靠一位勇敢的年輕戰士帶著它進行偉大的事跡，才能讓它擁有歷史。

資料資料：

裝備能力：
-防禦等級：+3

需求：
力量12

重量：5》~
@39581  = ~When you touch this rune, it begins to glow. You feel as if you have done something right.《當你碰觸這個符文時，它開始發光。你覺得似乎做對了某事。》~
@39582  = ~When you touch this rune, it begins to glow. You have a sinking feeling that you have done something wrong.《當你碰觸這個符文時，它開始發光。你心理一沉，覺得似乎做錯事。》~
@39583  = ~Ancient writing encircles the floating obsidian sphere. "These four runes are the key to opening the door to the lower levels. Touch each rune in the correct order. Fail and be punished by the guardian."《飄浮的黑曜石圓球周圍有著古代的文字。「這四個符文是打開通往下層之門的關鍵。依正確的次序碰觸每一個符文。若是失敗，就要接受警衛的懲罰。」》~
@39584  = ~You hear a noise to the side as the door unlocks and opens on its own.《當門鎖打開，並自動開啟時，你聽到旁邊有一些聲音。》~
@39585  = ~You have already pressed the button.《你已經按過按鈕了。》~
@39586  = ~Control Panel《控制台》~
@39587  = ~Control Panel《控制台》~
@39588  = ~You have initiated planar travel. The inner door will now open. You may not leave the sphere until the master allows it.《你已經啟動位面之間的移動，裡面的門將會開啟。除非主人同意，否則你們無法離開位面之球。》~
@39589  = ~The mouth of this statue seems to be screaming.《這座雕像的嘴似乎在喊叫。》~
@39590  = ~So... I see we have a name for our captor at last. Irenicus, is it? Tell me, dryads, why this Irenicus would go to such lengths to keep you three here?《終於……我們終於知道了囚禁我們的那位惡人的名字，叫做艾瑞尼卡斯是嗎？告訴我，樹精女，這個艾瑞尼卡斯為什麼要大費周章把你們三個留在這裡？》~
@39591  = ~Irenicus? There is a special place in my bootprint for him, and I shall fill it in the name of Dynaheir! Such evil to keep forest spirits locked away here!《講和？別想，以戴娜黑之名，我會好好教訓他！！這種邪魔會讓森林精靈躲起來。》~
@39592  = ~Jospil《喬斯比爾》~
@39593  = ~Jospil《喬斯比爾》~
@39594  = ~An item out of fables, the Ring of Djinni Summoning is highly sought after. Once a day, the wearer of this beautiful ring can summon a djinni who will do as the ring wearer commands. If the djinni should die while in the service of its master, the ring will be destroyed.

STATISTICS:

Charge abilities:
– Summon Djinni once per day
  Range: 20 ft.
  Duration: 1 turn

Weight: 0《傳說中的物品，很受人重視。這個戒指的配戴者一天可以召喚一次風巨靈，前來聽從他的命令。如果那個風巨靈在為其主人服務時死去，這個戒指就會被毀。

資料資料：

充能能力：
-每天一次召喚風巨靈
	有效距離：20呎
	持續時間：1回合

重量：0》~
@39595  = ~This burnished, red ring is engraved with depictions of flames and lava coils. Mages and other planar travelers use these rings to protect themselves while visiting the Elemental Plane of Fire and to command fire elementals to do their bidding.

STATISTICS:

Equipped abilities:
– Fire Resistance: +50%

Charge abilities:
– Charm Fire Elemental once per day (Save vs. Spell at +2 negates)
  Range: Touch
  Duration: 45 seconds
  Area of Effect: 1 fire elemental

– Burning Hands once per day
  Damage: 1d3+2 fire
  Range: 0
  Area of Effect: 5-ft. cone with 120-deg. arc

– Flamestrike once per day
  Damage: 6d8 fire (Save vs. Spell for half)
  Range: Visual range of the user
  Area of Effect: 1 creature

Weight: 0《這個紅焰吞吐的戒指上鐫刻了火焰及岩漿的樣式。法師們以及在界域間穿梭的旅人們在造訪火元素界時，會使用這些戒指來保護他們自己，以及指揮火元素聽從他們的命令。

資料資料：

裝備能力：
-火焰抗性：+50%

充能能力：
-每天一次魅惑火元素（以+2通過對法術的豁免檢定則無效）
	有效距離：觸碰
	持續時間：45秒
	影響範圍：1個火元素

-每天一次燃燒之手
	傷害：1d3+2火焰傷害
	有效距離：5呎
	影響範圍：自身

-每天一次焰擊術
	傷害：6d8火焰傷害（通過對法術的豁免檢定則減半）
	有效距離：使用者視野所及
	影響範圍：1個生物

重量：0》~
@39596  = ~Air elementals make for powerful foes, but with this ring, they can become valuable allies. Dark tales tell of groups of Red Wizards, all with rings of elemental command, descending upon small villages with no warning and destroying every living thing in sight. Although the truth of these rumors is questionable, the fact remains that a ring of this power in the wrong hands is dangerous.

STATISTICS:

Charge abilities:
– Charm Air Elemental once per day (Save vs. Spell at +2 negates)
  Range: Touch
  Duration: 45 seconds
  Area of Effect: 1 air elemental

– Improved Invisibility once per day
  Range: Touch
  Duration: 1 turn
  Area of Effect: 1 creature

Weight: 0《風元素是強大的敵人，但是有了這個戒指，他們可以成為重要的盟友。傳說中有一群紅袍巫師戴著元素指揮戒指，毫無預警地闖入了一個小村莊，摧毀所有看得到的活物。雖然這些傳說的真實性待查，但是事實上，擁有這種力量的戒指若是落入了錯誤的人的手中，仍然是非常危險的。

資料資料：

充能能力：
-每天一次魅惑風元素（以+2通過對法術的豁免檢定則無效）
	有效距離：觸碰
	持續時間：45秒
	影響範圍：1個風元素

-每天一次高等隱形
	有效距離：觸碰
	持續時間：1回合
	影響範圍：1個生物

重量：0》~
@39597  = ~If the songs of bards are correct, all one must do is wear this ring and they will gain the ability to control earth elementals at will. Of course, earth elementals are not easily controlled and care must be taken when commanding one. An angry earth elemental can make short work of an inept adventurer.
 
STATISTICS:

Equipped abilities:
– Armor Class: +1

Charge abilities:
– Charm Earth Elemental once per day (Save vs. Spell at +2 negates)
  Range: Touch
  Duration: 45 seconds
  Area of Effect: 1 earth elemental

– Stone to Flesh once per day
  Range: Touch
  Area of Effect: 1 creature

Weight: 0《如果吟遊詩人的歌曲是真的，那麼一個人只要戴上這個戒指，他們就可以獲得控制土元素的能力。當然，土元素並不容易控制，在命令它們的時候必須十分小心。生氣的土元素會使粗心的冒險者提早結束生命。

資料資料：

裝備能力：
-防禦等級：+1

充能能力：
-每天一次魅惑土元素（以+2通過對法術的豁免檢定則無效）
	有效距離：觸碰
	持續時間：45秒
	影響範圍：1個土元素

-每天一次解除石化
	有效距離：觸碰
	影響範圍：1個生物

重量：0》~
@39598  = ~For seven years, Count Fisfnilt searched the realms for a suitable bride for his son Ewnin. Unfortunately, all the women that Fisfnilt found were not up to the standards set by Ewnin, an impossibly spoiled man. Desiring an heir and impatient with his son, the Count had the court mage fashion this ring. He gifted the ring to a woman of no small courtly influence and Ewnin was instantly smitten. They wed three weeks later.

STATISTICS:

Equipped abilities:
– Charisma: 18

Charge abilities:
– Charm Person once per day (Save vs. Spell at +3 negates)
  Range: 60 ft.
  Duration: 100 seconds
  Area of Effect: 1 creature

Weight: 0《有七年的時間，費斯尼特伯爵四處為其子艾德溫尋找合適的新娘。不幸的是，費斯尼特找到的女人都不符合艾德溫的標準（他是個被寵壞的小孩）。由於希望有子嗣，也對其子感到不耐，伯爵命令宮廷法師製造這個戒指。他把這個戒指送給一個具有強大影響力的女子，艾德溫立刻喜歡上了她。他們三周後就結婚了。

資料資料：

裝備能力：
-魅力：18

充能能力：
-每天一次魅惑人類（以+3通過對法術的豁免檢定則無效）
	有效距離：60呎
	持續時間：100秒
	影響範圍：1個生物

重量：0》~
@39599  = ~A lowly-ranked Red Wizard named Huhhus is said to have discovered the perfect way to distill troll flesh to make a potion that provided the same regenerative ability as that of the troll. Few were willing to drink the vile liquid, however, and decades later a student of Huhhus created this ring by building upon the foundations of knowledge laid by Huhhus. Within the hollow cavity of the jade ring floats the ichor and brains of a troll, providing a limited regenerative capability to the wearer.

STATISTICS:

Equipped abilities: 
– Regenerate 1 Hit Point per round

Weight: 0《據說一名叫做赫努斯的低階紅袍巫師發現蒸餾巨魔肉的好方法，以製造可提供再生能力的藥劑。但是很少人願意喝這種污穢的液體，數十年之後，赫努斯的學生製出這個戒指，就是以赫努斯的學問為基礎。這個戒指的裡面中空，置有巨魔的膿水和腦，可以提供有限的再生能力。

資料資料：

裝備能力：
-每輪恢復1點生命值

重量：0》~
@39600  = ~Also known as the Breaker of Castles, with one word, this ring can unleash fantastic and deadly powers. When it is triggered, a barely discernible, ram-like shape billows forth from the ring. This force can potentially knock opponents off of walls, destroy castle gates, or crush enemies, but it is damaging as well in its own right.

STATISTICS:

Charge abilities:
– Ram once per day
  Damage: 5d6 magic
  Special: Pushes target away from user
  Range: 60 ft.
  Area of Effect: 1 creature

Weight: 0《亦稱為「城堡突破者」，只要一個字，這個戒指可以發出巨大而致命的力量。在啟動時，就會有一個隱約可辨的山羊影像從戒指向前衝去。這個力量可以將敵人擊退並向後飛去，也能摧毀城牆，推倒牆垣；所以此物品危險與否要看使用者如何去用它。

資料資料：

充能能力：
-每天一次衝撞力量
	傷害：5d6魔法傷害
	特殊能力：擊飛目標
	有效距離：60呎
	影響範圍：1個生物

重量：0》~
@39601  = ~Derek Drak, one of the most talented burglars in the Shadow Thieves' guild, wore this ring on many of his scores. The ring enhanced Derek's already impressive lockpicking abilities. In the city of Athkatla, there wasn't a door that could not be unlocked by Derek. To activate the ring, the proper command word must be known, at which point the garnet stone on the ring will polymorph into the shape of a key that closely fits the lock.

STATISTICS:

Equipped abilities:
– Pick Locks: +25%

Weight: 0《德雷克·德拉克，影賊公會裡最具才能的盜賊之一，在多次出擊中配戴這個戒指。這個戒指進一步提高了德雷克原已精湛的開鎖能力。在阿斯卡特拉裡，沒有一扇門是德雷克打不開的。要啟動這個戒指，必須知道正確的命令字，此時戒指上的石頭會變形成鑰匙的形狀以打開鎖。

資料資料：

裝備能力：
-開鎖技術：+25%

重量：0》~
@39602  = ~Nizzuf's Maze was a grand hedge maze created by the archmage Nizzuf for his amusement. The maze boasted hundreds of magical traps, most of them extremely lethal. Nizzuf posted a reward big enough to buy a kingdom to the man or woman brave enough to enter the maze and reach its core. Thousands tried and died. But one, Oteg Verm, completed the maze, thanks mainly to this ring which let him "see" where the traps were hidden.

STATISTICS:

Equipped abilities:
– Detect Traps: +25%

Weight: 0《尼茲夫迷宮是個宏偉的樹籬迷宮，由大法師尼茲夫為了娛樂之故而造。法師曾吹噓道：「這個迷宮裡有數百個魔法陷阱，大部分極為致命」。尼茲夫發出富可敵國的懸賞，看有誰夠勇敢，可以進入迷宮中，並走到核心。數以千計的人們報名嘗試，但卻全都死在裡頭。只有歐泰格·弗姆完成了，主要就是因為這個戒指可以讓他感受到陷阱的位置。

資料資料：

裝備能力：
-尋找陷阱：+25%

重量：0》~
@39603  = ~Baron Tiri of the North commanded ten of these bracers to be made, one for each of his bodyguards. The Baron thought it amusing when bandits—thinking them easy targets for they wore no armor—would attack him and his men as they made excursions across the land. The Guards of Tiri swiftly dealt with the would-be attackers. Of course, Baron Tiri himself never wore a set of bracers, and it was this unfortunate oversight that led to his death at the hands of an assassin's poison dagger.

STATISTICS:

Equipped abilities:
– Armor Class: 5

Weight: 2《北方的提裡伯爵下令製造十個這種護腕，他的保鏢一人一個。伯爵認為當強盜（以為他們沒穿護具，是容易下手的對象）攻擊他和他的手下時，會是很有趣的景象。提裡的警衛會處理這些攻擊者。當然，提裡伯爵本人沒有配戴護腕，也正是這種不幸的疏忽使他死在刺客的手裡。

資料資料：

裝備能力：
-防禦等級：5

重量：2》~
@39604  = ~Sometimes known as Gauntlets of Chain Mail, these bracers were first worn by Tapid Gornoak. He was still an active warrior at the age of seventy-five, but the weight of his armor was getting harder and harder to bear. A companion, the sorceress Nadalarin, created these bracers for him. She also cast a permanent illusion over him so that his men would think he still wore his heavy chain. Tapid died twenty years later, his hands wrapped around the neck of an orc chief when old age took him.

STATISTICS:

Equipped abilities:
– Armor Class: 4

