@12561  = ~~ [MINER06]
@17354  = ~We are free, my brothers! Go now and free the women! Hendak will strike his blade into the heart of our so-called owner, so that he shall never trouble you again! Go and savor your freedom!~ [HENDAK21]
@17355  = ~This... unit that contains me is powered by cells, by crystals. Take them and I can sleep... die... again die at last.~
@17356  = ~I know you are prisoners. Some things do not change. You must escape this place and the master's experiments. There are others... like me, but of more recent experiments...~
@17357  = ~Well, that's gratitude for you. You aren't going to abandon me here, are you? We have to stay together! I... I feel it!~ [IMOENP60]
@17358  = ~Praise be! We are free! Free at last!~ [GLAD201]
@17359  = ~Thank you again, my friends. Now to the task of killing that fiend Lehtinan. Assist me if you wish. Otherwise, stand and watch the vengeance of Hendak be fulfilled!~ [HENDAK22]
@17360  = ~Summon Fiend~
@17361  = ~Summon Fiend
(Conjuration/Summoning) 

Level: 8
Range: Visual range of the caster 
Duration: 15 rounds
Casting Time: 9
Area of Effect: Special
Saving Throw: None 

More powerful than the 7th-level variant, casting this Cacofiend spell summons a frenzied demon or devil. This fiend will attack everyone in the area who is not protected by a Protection From Evil spell. Only desperate or suicidal wizards use this spell.~
@17362  = ~Symbol, Fear
(Conjuration/Summoning)

Level: 8
Range: 90 ft.
Duration: Special
Casting Time: 9
Area of Effect: 12-ft. radius
Saving Throw: Neg.

Symbol, Fear is a powerful enchantment that allows the wizard to inscribe a symbol on the ground or any other surface. The symbol will remain there until someone comes too close, at which point it will explode, causing all those within the area to make a Save vs. Spell at a -4 penalty or be affected by fear for 2 rounds + 1 round for every 3 levels of the caster.~
@17363  = ~Run! Run! The slaves have escaped!~ [NOBLE101]
@17364  = ~Ahhh! Run for your lives! They'll kill us for certain!~ [NOBLE201]
@17365  = ~What?! Hendak? You ignorant, barbaric slave! You're behind all of this chaos, aren't you? I'll take it out of your hide!~ [LEHTIN07]
@17366  = ~Enough, fiend! You no longer own me, and I'll ensure that you no longer claim ownership over any other as well! I have survived your hellish fighting pit for years... you are no match for me!~ [HENDAK24]
@17367  = ~~
@17368  = ~Gervisse~
@17369  = ~Gervisse~
@17370  = ~We shall see!~ [LEHTIN21]
@17371  = ~There. It's finally over, Lehtinan... all the years of cruel and evil acts that you have committed for nothing more than coins in your pocket. Burn in the Abyss, fiend!~ [HENDAK08]
@17372  = ~skills~
@17373  = ~store~
@17374  = ~recall~
@17375  = ~Voltine~
@17376  = ~Voltine~
@17377  = ~Sarhedra~
@17378  = ~Maximum Hit Points~
@17379  = ~Saving Throws~
@17380  = ~Paralysis / Poison / Death~
@17381  = ~Rod / Staff / Wand~
@17382  = ~Petrification / Polymorph~
@17383  = ~Breath Weapon~
@17384  = ~Spell~
@17385  = ~properties~
@17386  = ~Created by the Goodberry spell, these simple-looking blueberries will heal one point of damage for each handful of berries eaten.

STATISTICS:

Special: Heals 1 Hit Point

Weight: 0~
@17387  = ~The slaves of the exile live no more.~
@17388  = ~Ain't got much time for talking. It's business as usual 'round here. If you want service, just ask.~
@17389  = ~While an adequate place to rest, rooms of this type offer little more than a roof over one's head. Recuperative benefits will likely be minimal. You get what you pay for.~
@17390  = ~Murtlen~
@17391  = ~Charm~
@17392  = ~Dire Charm~
@17393  = ~Rigid Thinking~
@17394  = ~Confused~
@17395  = ~Berserk~
@17396  = ~Intoxicated~
@17397  = ~Poisoned~
@17398  = ~Nauseated~
@17399  = ~Blind~
@17400  = ~Protection From Evil~
@17401  = ~Protection From Petrification~
@17402  = ~Protection From Missiles~
@17403  = ~Magic Armor~
@17404  = ~Held~
@17405  = ~Sleep~
@17406  = ~Shielded~
@17407  = ~Protection From Fire~
@17408  = ~Blessed~
@17409  = ~Chant~
@17410  = ~Free Action~
@17411  = ~Barkskin~
@17412  = ~Strength~
@17413  = ~Heroism~
@17414  = ~Invulnerable~
@17415  = ~Protection From Acid~
@17416  = ~Protection From Cold~
@17417  = ~Resist Fire/Cold~
@17418  = ~Protection From Electricity~
@17419  = ~Protection From Magic~
@17420  = ~Protection From Undead~
@17421  = ~Protection From Poison~
@17422  = ~Non-detectable~
@17423  = ~Good Luck~
@17424  = ~Bad Luck~
@17425  = ~Silenced~
@17426  = ~Cursed~
@17427  = ~Panic~
@17428  = ~You cannot use items on this page. To use an item, place it in a Quick Slot and use it on the main page.~
@17429  = ~I'll have a look at what's on tap here.~
@17430  = ~Nothing for me, thanks.~
@17431  = ~They have many children yet that they retain as slaves. I would ask of you to rid the city of this infestation once and for all.~
@17432  = ~That is, unless the lady would like something special.~
@17433  = ~Thank you, but no. Tonight I am fine as I am.~
@17434  = ~Suit yourself. What of the rest of you?~
@17435  = ~I'll see what's on tap, thank you.~
@17436  = ~Nothing for me, thanks.~
@17437  = ~More slavers in the city? Very well, we shall do what we can.~
@17438  = ~That is a lot to ask, Hendak. What might we get in return for such a task?~
@17439  = ~I cannot help you at the moment, Hendak. Perhaps another time.~
@17440  = ~I've no interest in such a task. Find somebody else.~
@17441  = ~But you were to see <CHARNAME> as <PRO_HESHE> is, not as you expected <PRO_HIMHER> to be! I was to bring <PRO_HIMHER> here so...~
@17442  = ~You were to bring <PRO_HIMHER> here so that we might have <PRO_HIMHER> here, nothing more. The course of action was always clear.~
@17443  = ~Excuse me, but I am still in the room. What is it you intend?~
@17444  = ~Excuse me, but I am still in the room. What is it you intend?~
@17445  = ~I take it I can expect more of this horrible treatment? ~
@17446  = ~I take it I can expect more of this horrible treatment? ~
@17447  = ~You presume to judge me? What are you to me? Nothing! Enough of this, I would know what you intend!~
@17448  = ~You presume to judge me? What are you to me? Nothing! Enough of this, I would know what you intend!~
@17449  = ~I am sorry, <CHARNAME>, this was not my intent at all! I thought...~
@17450  = ~Indeed, Galvarey, what is it you intend? This is not as we had discussed...~
@17451  = ~You thought you would bring him here and I would determine he presented no danger? My dear, your emotions have clouded your duty.~
@17452  = ~My... what?! You are questioning me?! You subject him to this... this witch hunt and you think I am the one that is to be questioned?~
@17453  = ~Well, your mood confirms it. My dear, as a Harper... as a DRUID, how can you allow <PRO_HIMHER> to walk around freely? Think of the effects on balance!~
@17454  = ~And what if <PRO_HESHE> will restore the balance? What if <PRO_HISHER> intent is good?~
@17455  = ~It is simply not worth the risk. No, there is no choice in the matter. <CHARNAME>, you are to be... confined.~
@17456  = ~No, but you only needed to know enough to bring them here. Extraneous information would have endangered the mission. As Harpers, we...~
@17457  = ~As Harpers, we respect others!~
@17458  = ~We have a greater duty to maintain the balance. How can you, as a Harper... as a DRUID, sanction the freedom of this person? What will <PRO_HESHE> do to the balance?~
@17459  = ~It is as good as death and you know it, Galvarey!~
@17460  = ~Nothing so barbaric. Imprisonment to contain the chaos <PRO_HESHE> might sow, either intentionally or unwittingly. It is a humane solution.~
@17461  = ~Sounds monstrous to me! I will not have it! You'll never get me in any cell!~
@17462  = ~And where am I to be locked away? I hope someplace with a view?~
@17463  = ~And you assume I will submit to this? That is not very likely. ~
@17464  = ~No, <CHARNAME>, I mean the spell "imprisonment." You will find yourself in a small container a few leagues under the earth. Quite peaceful.~
@17465  = ~This will not happen! I will fight to the last! You will not contain me!~
@17466  = ~You've no right to do this. I will not allow it.~
@17467  = ~You are welcome to try, but I doubt you shall succeed. I am in the right here!~
@17468  = ~You have no voice here and little choice in the matter. Certainly you can fight, but there are six Harpers to contend with. The odds are quite clearly...~
@17469  = ~Nay, Galvarey, there is but you and your four lackeys. I will have no part in this!~
@17470  = ~Here then, what do you want? Don't be bothering my concentration, I've lots of work to get done after my nap.~
@17471  = ~I was just walking by. No reason to get excited.~
@17472  = ~<CHARNAME>, I... I will stand by your side if you will have me. You are... you are better than this, I know. I...~
@17473  = ~You got me into this mess. I wouldn't trust you as far as I could throw you! ~
@17474  = ~I had hoped... I had hoped you would, but I do not wish you to harm your friends.~
@17475  = ~So... so be it, then. I will... I must not... I will have no part in either side of this!~
@17476  = ~Quite the effect you have on the ladies, <CHARNAME>. It suits your nature. Defend yourself if you must, but I intend to prevent your madness from spreading!~
@17477  = ~These are no friends of mine! I do not recognize them! ~
@17478  = ~You have made a mistake, Jaheira. With <PRO_HISHER> imprisonment, I could get sponsored as Herald! But now you fight the Harpers with this monster!~
@17479  = ~Harpers may interfere, but it is for the greater good! Not this! I don't know you!~
@17480  = ~<CHARNAME>, you are my comrade in arms. I know you are good and true in heart. I will fight with you against this!~
@17481  = ~<CHARNAME>, I am Harper. I cannot fight by your side against my own, but I will not take part in this! I... I cannot side with either. Goodbye.~
@17482  = ~The fervor you inspire is dangerous, <CHARNAME>. Your imprisonment will help stop the spread of such chaos. When I am Herald, things will change.~
@17483  = ~What'll I get for... Hey, I know you; you know Jaheira. I heard she betrayed the Harpers! You was probably there; what happened? Say it ain't so.~
@17484  = ~It ain't so, Bernard, it ain't so. They were as corrupt as... well... as this place here.~
@17485  = ~She did what she had to do, just like we all have to. It isn't always pretty.~
@17486  = ~Suit yourself.~
@17487  = ~I gets ya. The right move ain't always the popular one. Still, it's a shame, ain't it? Wonder if it coulda turned out different. I wonder.~
@17488  = ~Keep a thought in mind for our lost sister Jaheira... the balance is well kept in her hands wherever she roams. We wish this had ended differently.~
@17489  = ~This plate mail has been expertly crafted. Sheathed in the chitinous scales of the ankheg, it provides a greater degree of protection than traditional plate mail and is not susceptible to rust. As any world-weary adventurer will tell you, however, the best appreciated aspect of ankheg mail is its light weight and low encumbrance. Monsters come and go, but fatigue is a constant enemy.

STATISTICS:

Armor Class: 1 (-2 vs. slashing, 0 vs. piercing and missile)
Requires:
 8 Strength

Weight: 25~
@17490  = ~Like others of its type, this halberd consists of a cleaver-like axe blade mounted on a staff approximately six feet in length. It has also been bestowed with a small number of magical properties, however, thus making it more effective in combat. Its keen blade, for instance, will shear through your opponent's flesh to find the bone while its barbed tip will seek out gaps in their armor.

STATISTICS:

THAC0: +1
Damage: 1d10+1 (piercing or slashing)
Speed Factor: 8
Proficiency Type: Halberd
Type: Two-handed
Requires:
 13 Strength

Weight: 14~
@17491  = ~This wood is well on its way to recovering the healthy balance it once possessed. We shall not falter again.~
@17492  = ~Why not leave that problem to the garrison?~
@17493  = ~I know nothing of the defenses of the place inside, however. My stay there was brief and very long ago.~
@17494  = ~I am no wealthy man, my friend, but Lehtinan was. There are likely items of value within his stores. It may not be much, but it is all I can offer.~
@17495  = ~Halbazzer Drin~
@17496  = ~Halbazzer Drin~
@17497  = ~Lehtinan waved gold in front of their eyes to blind them, and I am sure the slavers are able to do much the same.~
@17498  = ~Well, it's a sad thing, it is. But I understand. If you change your mind, my friend, let me know.~
@17499  = ~Another name for natrolite in the realms, its slender, colorless crystals yield tiny faceted gems used often in veils and robes to capture the effect of beads of water glistening upon the material.

STATISTICS:

Weight: 0~
@17500  = ~Aquamarine is a hard, transparent form of beryl, blue-green in color. These sought after gems are found primarily in the barbarian tribes that roam the northern tundra.

STATISTICS:

Weight: 0~
@17501  = ~Garnet is a general class of crystals ranging from deep red to violet. A typical cut for this rare isometric gem is twelve to twenty-four sides, with the very rare thirty-six sides being known from time to time. It is rumored that a forty-eight-sided garnet exists, although none have ever been able to track down its location.

STATISTICS:

Weight: 0~
@17502  = ~Lynx eye is a specific type of labradorite (a feldspar gemstone). Labradorite as a class of stones is pale to dark gray and has patches of colored reflections. This "flash" is most commonly blue but can be of all shades. "Green flash" labradorite is called lynx eye in the realms.

STATISTICS:

Weight: 0~
@17503  = ~Sunstone is a feldspar gem, closely related to moonstone and more properly known as oligoclase. Sunstone can be colorless or faintly greenish and of facet grade, but most common by far is its softer (cabochon) variety. This yields gemstones that have bright red or orange spangles (minute crystals) suspended in a nearly colorless background in a parallel fashion, giving the whole a rich golden or reddish-brown color.

STATISTICS:

Weight: 0~
@17504  = ~Turquoise is an opaque aqua stone with darker mottlings, and is found in the more arid reaches of the realms. Horsemen will often place a sliver of this stone in a horse's harness as a sign of good luck.

STATISTICS:

Weight: 0~
@17505  = ~Fire agate is the name given to chalcedony which contains thin lines of iridescent goethite. When properly cut, the iridescence displays red, brown, gold, and green hues, and the finest specimens are partly translucent.

STATISTICS:

Weight: 0~
@17506  = ~Bloodstone is a dark greenish gray variety of quartz flecked with red crystal impurities. Ninety percent of the bloodstones in the realms come from the Galena Mountains in Damara, and most of those from a single mine in Bloodstone Pass. The border pass is heavily fortified and guarded as bloodstones are the chief export for this region.

STATISTICS:

Weight: 0~
@17507  = ~remove~
@17508  = ~Skydrop is the common name given to clear or lightly colored tektite material: fragments of glass of celestial (meteoric) origin, found in the vast shifting sands of Anauroch and other deserts.

STATISTICS:

Weight: 0~
@17509  = ~Andar is hard and durable, yielding translucent gems ("andars") that flash green-red or brown-red when properly faceted.

STATISTICS:

Weight: 0~
@17510  = ~Horn coral, which is also called night coral, is a deep black coral similar to angel's skin save for its solid color. It is incredibly difficult to work with, and is used in jewelry as a polished twig or branch of material, or is cut cabochon.

STATISTICS:

Weight: 0~
@17511  = ~Jasper is an opaque quartz found in reds, browns, and blacks. Very rare specimens are blue or have bands of blue against the other colors. Jasper can be crushed and used in making potions and magical devices which protect against poison.

STATISTICS:

Weight: 0~
@17512  = ~This scroll is cursed. It would be unwise to read it, as the effects could prove fatal.
~
@17513  = ~Iol is actually short for iolite (cordierite), although a common nickname is "violet stone" even though its overall hue is usually blue. Iols are usually cut into faceted gems to best display the stone's color change as it is viewed from different directions. Small, cut iols can be clear, but larger specimens usually contain silky inclusions of another substance such as hematite crystals, which give the same rich golden flash of color as in sunstones.

STATISTICS:

Weight: 0~
@17514  = ~Moonstone is an opaque, white feldspar gem polished to a bluish sheen. Old legends say that the sight of a moonstone would cause a lycanthrope to revert to <PRO_HISHER> animal form. Whether or not this is true is unknown, as anyone close enough to find out apparently hasn't lived to tell the tale. However, moonstones have been used in spells that affect this particular curse.

STATISTICS:

Weight: 0~
@17515  = ~~
@17516  = ~I do not think anyone else can perform this task. Ah, I suppose you have your reasons. Come and speak to me if you change your mind.~
@17517  = ~A favorite of the frugal business traveler, rooms of this type are basic but comfortable. A good solid mattress and clean linen, for when one must awaken presentable, but not so pampered as to promote oversleeping.~
@17518  = ~Are you sure you want to remove this character from the party?~
@17519  = ~A truly luxurious experience at an equally exorbitant price. Beds filled with the softest down, draped with the finest Calimshan silks and linens. Nearly as restful as a week in a lesser room, though who but royalty could afford the cost?~
@17520  = ~Pearls consist of layers of aragonite agonizingly formed around a bit of grit or other irritant inside oysters and other mollusks. The resulting pearl has a rich, deep luster. Most of the pearls in the realms are white; however there are varieties that are much more rare such as rainbow and black.

STATISTICS:

Weight: 0~
@17521  = ~These rooms are of excellent quality at a somewhat reasonable price, and a definite luxury for those accustomed to sleeping under an open sky. None but the most pampered dandy would have complaints with these accommodations.~
@17522  = ~Sphene is a soft, brittle gemstone (and, like scapra, easily worked by unskilled cutters) of various yellow to green shades, the most prized of these being a fine emerald green.

STATISTICS:

Weight: 0~
@17523  = ~A protection scroll is a set of magical runes imprinted on enchanted parchment. These scrolls are unique in that any class of character can read them, whether adept in magic or not. When the runes are read aloud, the protective magic is released upon the target of the reader's choice. These scrolls can have a wide variety of beneficial effects, though care should be taken with scrolls gained from suspicious sources.~
@17524  = ~Black opal has a greenish hue with black mottling and gold flecks. Usually found in ancient hot springs, the gem is tumbled smooth and cut cabochon. The phrase in the north "black as an opal" is used as a subtle form of praise for kind-hearted rogues and the like.

STATISTICS:

Weight: 0~
@17525  = ~Water opal is a colorless, clear opal with a play of color. It is rare and valuable in the realms, where it is used in scrying devices.

STATISTICS:

Weight: 0~
@17526  = ~Moonbar is a pearly white, opaque gemstone, usually pale blue with green and gold mottling. Related in type to fire and black opals, it is only slightly more common.

STATISTICS:

Weight: 0~
@17527  = ~Star sapphire is a precious variation of the sapphire; however, it is more translucent, with a white star highlighted in its center. A star sapphire has been known to ornament devices that protect against magic.

STATISTICS:

Weight: 0~
@17528  = ~I shall go to this compound, then, and return as soon as I am able.~
@17529  = ~Diamond is a hard clear gem which can be clear blue-white, rich blue, yellow, or pink. The hardest of all the gemstones, and among the most valuable, diamonds are usually found in the northern mountains by underground races and then traded to the surface world.

STATISTICS:

Weight: 0~
@17530  = ~An emerald is a brilliant green beryl, cleaved along straight box-like lines, with rectangular cutting in the finished gem. Emeralds are often connected with health.

STATISTICS:

Weight: 0~
@17531  = ~King's tears are very rare and found only in the realms, where they are sometimes called frozen tears. Clear, teardrop-shaped, smooth-surfaced, and totally unbreakable so far by any means, these stones are said to be the crystallized tears of long-dead necromancer kings. In each gem can be seen that which the weeping king loved long ago. Their true nature is unknown, but suffice it to say that sages prize these gems above all others.

STATISTICS:

Weight: 0~
@17532  = ~A small, shifting, rainbow colored, iridescent gemstone. The fluid shades of color appear almost liquid under normal sunlight; it is truly a beautiful sight to behold. Rogue stones are extremely rare and are used for the gemjump spell, hence one of the most sought after gems in the realms.

STATISTICS:

Weight: 0~
@17533  = ~Good fortune to you, my friend.~
@17534  = ~These arrows were enhanced through magical means when they were created. They appear slightly straighter than the average arrow, almost alive as they effortlessly leave your bow and streak toward their target with deadly accuracy.

STATISTICS:

THAC0: +2
Damage: 1d6 (missile)
Launcher: Bow

Weight: 0~
@17535  = ~This arrow is twisted and black, almost radiating evil as if possessed by something larger than itself. It was made specifically to kill one type of creature and one type only. In this case, the unlucky being is the ogre mage.

STATISTICS:

Combat abilities:
– Slay ogre mage upon touch

THAC0: +15
Damage: 1d6 (missile)
Launcher: Bow

Weight: 0~
@17536  = ~This arrow is coated in acid. When it strikes an enemy, it not only pierces flesh but also eats it away, enlarging and deepening the wound.

STATISTICS:

THAC0: +1
Damage: 1d6+1, +1d3 acid damage
Damage type: Missile
Launcher: Bow

Weight: 0~
@17537  = ~The Arrow of Biting was designed as a deadly compliment to the archer. Poison smeared on the barbed arrowhead infiltrates the bloodstream of its victims, causing agony and often death.

STATISTICS:

Combat abilities:
– Target must save vs. Death or lose 30% of its maximum Hit Points within 20 seconds

Damage: 1d6 (missile)
Launcher: Bow

Weight: 0~
@17538  = ~This arrow has a particularly debilitating effect on its victims as, upon impact, it explodes into a huge ball of fire and shrapnel affecting all within the area.

STATISTICS:

Damage: 6d6 explosion upon impact (Save vs. Spell for half)
Damage type: Missile
Launcher: Bow

Weight: 0~
@17539  = ~This arrow will remove the magical enchantments that its victim is surrounded by.

STATISTICS:

Combat abilities:
– Dispel Magic on target when hit

Damage: 1d6 (missile)
Launcher: Bow

Weight: 0~
@17540  = ~This is a magical arrow that will burst into flames as it is fired at an enemy. The effect is similar to an arrow doused in oil and set to flame.

STATISTICS:

Damage: 1d6, +1d2 fire damage (Save vs. Spell for none)
Damage type: Missile
Launcher: Bow

Weight: 0~
@17541  = ~This arrow is long and thin, imbued with magical properties that allow it to "push" itself through armor, striking out towards the heart of the victim.

STATISTICS:

THAC0: +4
Damage: 1d6, +6 piercing damage (Save vs. Death for none)
Damage type: Missile
Launcher: Bow

Weight: 0~
@17542  = ~This arrow is magically enhanced so as to burst into a rolling ball of ice and cold when fired. When the arrow strikes its victim, a shock of cold will travel through its body, both burning and numbing to the very core.

STATISTICS:

Damage: 1d6, +1d2 cold damage
Damage type: Missile
Launcher: Bow

Weight: 0~
@17543  = ~Hm. Why not report them and let the garrison handle this, Hendak?~
@17544  = ~Very well, then. I shall do what I can.~
@17545  = ~custom~
@17546  = ~I don't think I can help you right now. Perhaps another time.~
@17547  = ~Green Slime~
@17548  = ~Green Slime~
@17549  = ~Movies~
@17550  = ~Lendarn~
@17551  = ~Lendarn~
@17552  = ~Kobold Commando~
@17553  = ~Kobold Commando~
@17554  = ~Ghost Knight~
@17555  = ~Ghost Knight~
@17556  = ~Paused for chapter text~
@17557  = ~Paused for movie~
@17558  = ~Paused for rest screen~
@17559  = ~Hobgoblin Witch Doctor~
@17560  = ~Hobgoblin Elite~
@17561  = ~Ogre Berserker~
@17562  = ~Ogre Berserker~
@17563  = ~This rusted set of armor must be centuries old. From what you make of it, it must have once been a magnificent set of plate armor.

STATISTICS:

Weight: 15~
@17564  = ~Kick Player~
@17565  = ~Modify Characters~
@17566  = ~Buy and Sell~
@17567  = ~Travel~
@17568  = ~Dialogue~
@17569  = ~View Characters~
@17570  = ~Pause Game~
@17571  = ~Leader~
@17572  = ~The Party Has Gained Gold~
@17573  = ~The Party Has Lost Gold~
@17574  = ~The Party Has Gained Experience~
@17575  = ~The Party Has Lost Experience~
@17576  = ~The Party Has Gained An Item: <ITEM>~
@17577  = ~The Party Has Lost An Item: <ITEM>~
@17578  = ~Edie~
@17579  = ~Edie~
@17580  = ~Fenwick~
@17581  = ~Fenwick~
@17582  = ~PALADIN MELEE : ~
@17583  = ~The Paladin will attack enemies, following them if necessary. If companions are injured, the Paladin will attempt to heal them with spells or Lay On Hands. (<script>)~
@17584  = ~RANGER RANGED: ~
@17585  = ~The Ranger will attempt to keep a distance between <PRO_HIMHER>self and enemies, firing with ranged weapons if possible. If injured, <PRO_HESHE> will attempt to hide and drink healing potions before returning to battle. (<script>)~
@17586  = ~SPELLCASTER ATTACK (Fighter, Ranger, Paladin): ~
@17587  = ~The Fighter will attempt to slay any Mages or Clerics. This Fighter will use missile weapons first, if possible, using melee only if surrounded by enemies. (<script>)~
@17588  = ~SPELLCASTER DEFEND (Fighter, Ranger, Paladin): ~
@17589  = ~The Fighter will act like a normal Fighter, attacking enemies with whatever weapon is equipped. If a Mage or Cleric in the party is injured to 50% of its Hit Points, the Fighter will defend them, attacking their attackers. (<script>)~
@17590  = ~THIEF AGGRESSIVE: ~
@17591  = ~The Thief will attempt to Hide In Shadows when an enemy is not in sight. As soon as the Thief is hidden, <PRO_HESHE> will attempt to backstab the closest enemy. (<script>)~
@17592  = ~THIEF DEFENSIVE: ~
@17593  = ~The Thief will attack any enemies <PRO_HESHE> notices who are attacking party members (including <PRO_HIMHER>self). If the Thief is reduced to 50% or fewer Hit Points, then <PRO_HESHE> will run away and then attempt to Hide In Shadows and avoid combat. (<script>)~
@17594  = ~THIEF ADVENTURER: ~
@17595  = ~The Thief will constantly, and to the exclusion of all else, search for traps. If attacked, the Thief ignores enemies and will continue detecting traps. (<script>)~
@17596  = ~THIEF SCOUT: ~
@17597  = ~The scout Thief will try to stay hidden. This script is useful if you need to use your Thief to explore areas but don't want them attacking every enemy they encounter. They will only engage in combat if an enemy detects their presence. (<script>)~
@17598  = ~WIZARD AGGRESSIVE (Bard): ~
@17599  = ~The Mage will begin casting offensive spells against any enemy as soon as <PRO_HESHE> sees them. The Mage must have an offensive spell memorized for <PRO_HIMHER> to cast a spell. If <PRO_HESHE> does not have an offensive spell memorized, then <PRO_HESHE> will remain where <PRO_HESHE> is standing and use any missile weapon that <PRO_HESHE> possesses. If an enemy engages <PRO_HIMHER> in melee combat, then <PRO_HESHE> will attack them with <PRO_HISHER> melee weapon. (<script>)~
@17600  = ~WIZARD DEFENSIVE (Bard): ~
@17601  = ~As soon as <PRO_HESHE> sees an enemy, <PRO_HESHE> will cast the most powerful defensive spell on <PRO_HIMHER>self (Armor, Shield, Ghost Armor, etc.). The wizard will then begin casting offensive spells at the closest enemies. If at any time <PRO_HESHE> is attacked with a melee weapon, <PRO_HESHE> will run until <PRO_HESHE> is safe. (<script>)~
@17602  = ~WIZARD DISABLER (Bard): ~
@17603  = ~The disabler Mage will cast a few defensive spells on <PRO_HIMHER>self and then attempt to disable all enemies. Disabling spells include hold, confusion, and maze spells, among others. These spells are useful to disable an enemy group while the Mage's companions move in for the slaughter. (<script>)~
@17604  = ~WIZARD BERSERK (Bard): ~
@17605  = ~The Mage will begin casting offensive spells against any enemy as soon as <PRO_HESHE> sees them. The Mage must have an offensive spell memorized for <PRO_HIMHER> to cast a spell. If <PRO_HESHE> does not have an offensive spell memorized, then <PRO_HESHE> will draw a melee weapon and attack the closest enemy. This is a dangerous script, as a Mage does not have the armor or Hit Points to survive long in melee combat. (<script>)~
@17606  = ~CLERIC AGGRESSIVE (Druid): ~
@17607  = ~The Cleric will begin casting offensive spells against any enemy as soon as <PRO_HESHE> sees them. The Cleric must have an offensive spell memorized for <PRO_HIMHER> to cast a spell. If <PRO_HESHE> does not have an offensive spell memorized, then <PRO_HESHE> will remain where <PRO_HESHE> is standing and use any missile weapon that <PRO_HESHE> possesses. If <PRO_HESHE> does not have a missile weapon, then <PRO_HESHE> will engage the closest enemy with a melee weapon. (<script>)~
@17608  = ~CLERIC DEFENSIVE (Druid): ~
@17609  = ~The Cleric will cast defensive spells on <PRO_HIMHER>self and then move about the battlefield, healing <PRO_HISHER> companions. If necessary, <PRO_HESHE> will defend <PRO_HIMHER>self, attacking with ranged or melee weapons depending on how close <PRO_HISHER> enemies are to <PRO_HIMHER>. (<script>)~
@17610  = ~DRUID OFFENSIVE/DEFENSIVE (Cleric): ~
@17611  = ~The Druid will first cast defensive spells on <PRO_HIMHER>self (Iron Skins, etc.). The Druid will then use offensive spells and also try to heal any injured party members. (<script>)~
@17612  = ~DRUID SUMMONING (Cleric): ~
@17613  = ~The Druid will cast a few spells on <PRO_HIMHER>self for protection purposes. To defeat <PRO_HISHER> enemies, <PRO_HESHE> will summon animals. The Druid prefers ranged weapons, but will engage in melee if necessary. The Druid will not cast healing spells. (<script>)~
@17614  = ~Tutor~
@17615  = ~Tutor~
@17616  = ~That's not enough compensation for a harsh task, I think. Find somebody else.~
@17617  = ~Dead Halfling Messenger~
@17618  = ~I suppose you're right. What kind of reward might I expect from a task of this kind, then?~
@17619  = ~That's true. Very well then, I'll not allow such a place to exist while I do.~
@17620  = ~Regardless, I don't think I can help you right now, Hendak.~
@17621  = ~Well, that's too bad because I'm not interested. Find somebody else to do it.~
@17622  = ~All right... I've changed my mind. I'll find these slavers and free those they hold captive.~
@17623  = ~I'll be on my way then.~
@17624  = ~It's not as much as the fiend had, but it's plenty, and it's at a significant discount for you. Just speak to Bernard... I still have him handling the store.~
@17625  = ~Well... all right. I've changed my mind. I'll find these slavers and free the people they hold captive.~
@17626  = ~Very well, I will be on my way then.~
@17627  = ~Ah. Good to see you again, of course, my friend. How may Hendak be of assistance?~
@17628  = ~I was wondering if you could tell me again about the slave compound you mentioned.~
@17629  = ~I'm just looking to take advantage of your services, please.~
@17630  = ~Never mind, I'll be going.~
@17631  = ~Well, as I said, the slavers remain at large within Athkatla, hidden at their base here in the slums. They have many children that are still enslaved.~
@17632  = ~Jondalar~
@17633  = ~Jondalar~
@17634  = ~Erik~
@17635  = ~Erik~
@17636  = ~I know nothing of the defenses of the compound inside, however. My stay there was brief and very long ago.~
@17637  = ~Very well, I will go to this compound and see if I cannot rid this city of its slavers once and for all.~
@17638  = ~I see. Well I shall have to think on this. Can I see your services in the meantime?~
@17639  = ~I shall have to think on this. Farewell.~
@17640  = ~Priest of Ilmater~
@17641  = ~Verling~
@17642  = ~Verling~
@17643  = ~The longbow is similar to the shortbow, except that the staff is about as tall as the archer is—usually six to six-and-a-half feet. It has better range and accuracy than the shortbow, but a slower Speed Factor. This one has been enhanced with magical properties, giving it an air of perfection.

STATISTICS:

THAC0: +2
Speed Factor: 6
Proficiency Type: Longbow
Type: Two-handed
Requires:
 6 Strength

Weight: 3~
@17644  = ~Rigid Thinking 
(Enchantment/Charm)

Level: 3
Sphere: Law
Range: Visual range of the caster
Duration: 1 turn
Casting Time: 5 
Area of Effect: 1 person or mammal 
Saving Throw: Neg. 

The target of this spell must make a Saving Throw vs. Spell or come under its effects. When under the effects of the Rigid Thinking spell, the victim will randomly wander, attack the nearest person, or stand confused.~
@17645  = ~Free Action
(Abjuration)

Level: 4
Sphere: Charm
Range: Touch 
Duration: 1 turn + 1 round/level 
Casting Time: 5 
Area of Effect: 1 creature 
Saving Throw: None 

