@81433  = ~试试来拿啊。谅你也不敢。~
@90807  = ~那说得通了。我能问你点别的吗？~
@90808  = ~那就解释了。再会，法德尔。~
@90809  = ~她是女王。我们照她说的办。她是个严厉的女主人，也不尊重我们佣兵——或者任何人，看样子。~ [OH90809]
@90810  = ~我看得出。我能问你点别的吗？~
@90811  = ~我对她的印象也是这样。谢谢，法德尔，再会。~
@90812  = ~或许……或许你是对的。反-反叛……~ [OH90812]
@90813  = ~又是你。什么事？~ [OH90813]
@90814  = ~我有些问题问你。~
@90815  = ~没什么，抱歉打扰你。再会。~
@90816  = ~我们看够了这地方。你的命到此为止，佣兵混蛋。~
@90817  = ~所以我踢他的头踢到死！~
@90818  = ~我想听首曲子。有谁会“领主的女儿”？~
@90819  = ~半身人不适合站着战斗；他们站着才我们坐着高！~
@90820  = ~我们拼的是命，巫师们只用到他们的法袍。这不公平。~
@90821  = ~这酒掺了水，不然我就是法特怪。~
@90822  = ~玩牌？你这辈子都别想。俺的钱只够自己不挨饿。~
@90823  = ~……而俺就是那样得到第一匹马。~
@90824  = ~你觉得下次波动时我们会损失多少人？~
@90825  = ~他的死太糟了。他创作的成果非常有趣。~
@90826  = ~你听说没？维克罗斯快到西方了。~
@90827  = ~我应该从事我的研究，而不是陪着这些乏味的佣兵……~
@90828  = ~金光闪闪的酒壶，你在这！对不起俺声音压这么低；不想让别人知道……那会怎样？没听说过！告诉俺要怎么办……那应该能给咱们争取点时间。~ [OH90828]
@90829  = ~米伦达！你还活着。其他人在哪？他们也活着吗？~ [OH90829]
@90830  = ~嘘，亲爱的。俺不知道他们是不是还有气；你瞧，俺运气好当了个奴隶。~ [OH90830]
@90831  = ~咱们不能多聊——法师会怀疑。要像灌杯火酒一样快。~ [OH90831]
@90832  = ~我也很高兴见到你，米伦达。你怎么活下来的？~
@90833  = ~有什么我该知道的重要的事？~
@90834  = ~我需要让这些佣兵喝个痛快。我能给全酒吧买一轮吗？~
@90835  = ~也许我们没谈过最好。再会！~
@90836  = ~记得那桶半身人的帮助吗？他们抓住俺时，俺坚持带上它。俺说：“如果俺要进坟墓，俺要俺老公陪着，”他们笑着说俺是好人。求那女巫让俺管酒吧，扣他们的工钱。她最后让步了。~ [OH90836]
@90837  = ~有什么我该知道的重要的事？~
@90838  = ~我需要让这些佣兵喝个痛快。我能给全酒吧买一轮吗？~
@90839  = ~我知道了，我会回来的，米伦达，保重自己。~
@90840  = ~这地方在刀刃上挣扎。佣兵干得多拿得少，强壮的奴隶渴望为自由而战，而八杖团都看不见。俺不知道你怎么进来的，但俺知道你能带咱们出去。只要朝正确的地方一指就成。~ [OH90840]
@90841  = ~真高兴你活着，米伦达。你怎么做到的？~
@90842  = ~我需要让这些佣兵喝个痛快。我能给全酒吧买一轮吗？~
@90843  = ~我知道了。我会回来的，米伦达。保重自己。~
@90844  = ~当然行。俺得收你钱，这样事情显得正常。要俺说大概再三轮就会搞定他们。50金币一轮。你见过法德尔？他们忠于她。也许要多哄哄才能让她反水，但她是他们中最不开心的。~ [OH90844]
@90845  = ~那么这是第一轮的50金币。~
@90846  = ~五十？我会看看能做什么。~
@90847  = ~听好了，听好了！这个人很高兴见到你们这些好样的——<PRO_HESHE>刚给你们买了一轮店里最好的酒！~ [OH90847]
@90848  = ~好呀！~
@90849  = ~那真是位高贵的<PRO_LADYLORD>。哈！~
@90850  = ~干杯，女士们先生们！~
@90851  = ~等俺给他们上这个，他们就要回去了。再两轮就行——等会儿告诉俺。~ [OH90851]
@90852  = ~你回来了！有话快说。~ [OH90852]
@90853  = ~我可以给佣兵们买一轮酒吗？~
@90854  = ~只是来看看你。我会回来的。~
@90855  = ~是的，你可以。50金币。~ [OH90855]
@90856  = ~没问题。~
@90857  = ~其实，我改变主意了。再会。~
@90858  = ~他们喜欢那样，他们也会的；没什么比得上免费酒！哈！现在有双关语了。~ [OH90858]
@90859  = ~俺觉得最后一轮生效了。他们现在群情激奋。~ [OH90859]
@90860  = ~你做到了！俺就知道你能。衷心谢谢你；俺相信你不管少了谁行。哦！趁俺没忘，这是你的钱。150金币。俺闪了！~ [OH90860]
@90861  = ~俺希望你会那么说。能再见到那片小林地一定很好，虽说它也许成了焦土。再会！~ [OH90861]
@90862  = ~很高兴能帮忙。特拉娜在营地等着你。~
@90863  = ~再会。~
@90864  = ~欢迎。*啊啾！**吸*我能……等-等下。我认识你吗？~ [OH90864]
@90865  = ~贝罗古尔普！是我，<CHARNAME>！你在这做什么？~
@90866  = ~我不太确定。你是谁？~
@90867  = ~好极了。疯狂侏儒和他的宠物蘑菇人。你叫什么名字来着？巴特古普？~
@90868  = ~*啊啾！*我是贝罗古尔普·蓝指，这位是药剂师。我们曾和你一起关在贝洛斯竞技场。~ [OH90868]
@90869  = ~我们开店配药水，和以前一样。*啊啾！*药水让你更强壮、更迅速、更聪明。我们甚至有吸引女士或者男士目光的药水！~ [OH90869]
@90870  = ~宣传力度真大。我会看看。~
@90871  = ~也许晚点吧，贝罗古尔普。我得走了。~
@90872  = ~我能问你点问题吗？~
@90873  = ~我不会买一只超大伞菌配的药水。~
@90874  = ~贝罗古尔普·蓝指。不需要无礼。~ [OH90874]
@90875  = ~……~
@90876  = ~哈！我自己说也不能更好，药剂师，不过我怀疑即使一只巨魔也能生出和这个表演者一样无礼的东西。现在听着，你。你最好对我们商人礼貌，不然你永远得不到保命要用的装备。*啊啾！*~ [OH90876]
@90877  = ~抱歉，贝罗古尔普。我本来想开玩笑，但……呃，我们换个话题吧。~
@90878  = ~对不起。我不打扰了。~
@90879  = ~好像我会需要你的没用药水。~
@90880  = ~行！挑衅我们！你会回来的，到那时，药剂师往你的药水里吐痰也别惊讶！~ [OH90880]
@90881  = ~这-这是你说的安-安全？我……我不会……我不会和你们这些家伙呆在一起！我受够了。从你闯进我的生活起，我见到的只有恐怖的流血！~ [OH90881]
@90882  = ~行啊。那么，我会自己吐到药水里。再见！*阿啾！*~ [OH90882]
@90883  = ~如果你需要任何药水再回来。*啊啾！*~ [OH90883]
@90884  = ~我总是乐意和你这样的老朋友一起回忆。*啊啾！*~ [OH90884]
@90885  = ~你为什么总打喷嚏？~
@90886  = ~你怎么到这来了？~
@90887  = ~为什么大厨总用那种眼神看药剂师？~
@90888  = ~我可以看看你的货吗？~
@90889  = ~别介意。我得走了。~
@90890  = ~哦，那个。呃，你也许记得我们在贝洛斯的黑坑见面时，药剂师靠释放孢子来沟通。看来我对它们*啊啾！*产生了过敏。*啊啾！*~ [OH90890]
@90891  = ~那……太糟了。我们谈点别的。~
@90892  = ~是啊。我现在要走了。~
@90893  = ~那太好笑了！你有这么个可怕的朋友真是自找。~
@90894  = ~那说来话长！药剂师和我在幽暗地域布灵登石城附近找宝石和药剂材料。突然，飞翼那家伙的猎人包围我们。现在我一想还发抖。*啊啾！*~ [OH90894]
@90895  = ~其中之一，一个叫小丑的肮脏半精灵，砍中药剂师的伞柄，打伤了他。*啊啾！*我扑过去保护朋友。我的地底侏儒狂暴迫使猎人活捉我们。*啊啾！*~ [OH90895]
@90896  = ~你什么意思，“告诉他们真相？”那就是真相！*啊啾！*~ [OH90896]
@90897  = ~好吧，也许我夸张了点。你不能怪我。我们被抓时离尊严差得远。小丑打伤药剂师时，他发出可怜的孢子-惨叫。~ [OH90897]
@90898  = ~孢子飘进我的鼻子时，我开始失控地打喷嚏。我打得太猛，一个后空翻，脸朝下落到药剂师头上。猎人们觉得这太好笑，于是决定活捉我们，把我们带到这。*啊啾！*~ [OH90898]
@90899  = ~至少他们让你们活着。如果可以，我现在想看看你的货。~
@90900  = ~活着比死了好，我猜。我现在要走了。~
@90901  = ~我们谈点别的。~
@90902  = ~一个胆小的蕈菇人和一个杂耍的地底侏儒？你们俩该进马戏团。~
@90903  = ~那肮脏的矮人！小丑打伤药剂师后，她带走切下的一片伞柄，给了大厨！*啊啾！*那疯子用它炖汤，还觉得美味极了。~ [OH90903]
@90904  = ~是的，是的。我知道你很自豪有多美味。别*啊啾！*打岔了！~ [OH90904]
@90905  = ~不管怎样，大厨爱死了那汤，从那以后一直劝德纳顿让他把药剂师其余部分也炖了。肮脏的矮人！*啊啾！*~ [OH90905]
@90906  = ~恶心……啊，呃。让我看看你的货。~
@90907  = ~至少他还没成功。现在我得走了。~
@90908  = ~或许我们可以谈点别的。任何事。~
@90909  = ~蕈菇人汤。听起来不错。~
@90910  = ~我能问你些事吗？~
@90911  = ~我在想，我能不能拿一片药剂师给大厨炖汤。~
@90912  = ~你觉得药剂师能给我做些……特别的东西吗？~
@90913  = ~我有瓶树皮术药水。你能把它做成树菌粉吗？~
@90914  = ~当然！问吧！~ [OH90914]
@90915  = ~为什么大厨总用那种眼神看药剂师？~
@90916  = ~你不认为德纳顿应该补偿你们的服务？~
@90917  = ~或许吧。这“特别的东西”是做什么用的？~ [OH90917]
@90918  = ~我需要些树菌粉。~
@90919  = ~我打算对小丑下毒。~
@90920  = ~我需要些东西稳定杜尔夫·乌须的心智。~
@90921  = ~转念一想，我改变主意了。我得走了。~
@90922  = ~你这侏儒真多管闲事。忘了吧。你们这些幽暗地域的让我紧张。~
@90923  = ~药剂师说这很难弄。这可不便宜。要花你750金币和一瓶树皮术药水。*啊啾！*~ [OH90923]
@90924  = ~等我有药水和钱就回来。~
@90925  = ~树皮术药水？我上哪找这个？~
@90926  = ~我正好有瓶树皮术药水。~
@90927  = ~药剂师需要药水？那你的技术评价可不高，不是吗？~
@90928  = ~我会到处找找。另外一个商人，又或许牧师们，也许有一两瓶。~ [OH90928]
@90929  = ~你需要的是老年镇静药膏。药剂师只要100金币就能配一份。~ [OH90929]
@90930  = ~好极了，给你。~
@90931  = ~我眼下没那么多钱。我晚点会回来。~
@90932  = ~转念一想，我改变主意了。我得走了。~
@90933  = ~100金币？如果你以为我会花这么多钱买你的愚蠢药膏，就是老年痴呆！~
@90934  = ~也许你是对的。*啊啾！*我们的确提供全费伦最好的药水。我会对他提这事。~ [OH90934]
@90935  = ~哦，我不知道。毕竟，我们在这是囚犯。我不想激怒德纳顿。~ [OH90935]
@90936  = ~请付750金币。~ [OH90936]
@90937  = ~给你。~
@90938  = ~如果我告诉你这是要对大厨下毒，你会免费吗？~
@90939  = ~如果你以为我会付那么多，你就是喝多了自己的药水。~
@90940  = ~*啊啾！*药剂师说很乐意。留着你的钱，干掉那个疯矮人。给你。~ [OH90940]
@90941  = ~什么？药剂师可不是大厨炖锅的行走食材！他是药剂大师的亲密朋友！*啊啾！*~ [OH90941]
@90942  = ~也许大厨多喝点的话，就不会再打整个药剂师的主意。~
@90943  = ~我会给你1,000金币……~
@90944  = ~抱歉，贝罗古尔普。只是个小玩笑。我现在要走了。~
@90945  = ~来吧，贝罗古尔普，你别告诉我从没想过就咬一小口。~
@90946  = ~绝对不行。那矮人疯了，他一点都别想得到我的好朋友！*啊啾！*~ [OH90946]
@90947  = ~嗯……你说的有理。或许这会让那疯矮人远离我的朋友。你怎么看，药剂师？反正过几天会长回来，对不对？~ [OH90947]
@90948  = ~好吧。说定了。现在弯下腰，药剂师。这一点都不痛。只要飞快地一刀然后瞧！拿到了。给你。还有告诉那疯矮人从今以后离药剂师远点。*啊啾！*~ [OH90948]
@90949  = ~宝石和首饰！我是说，那是个慷慨的提议。你怎么看，药剂师？我们可以用来买一大批试剂。反正你过几天会再生，不是吗？~ [OH90949]
@90950  = ~好吧。说定了。弯下腰，药剂师——这一点都不痛。只要飞快地一刀然后瞧！拿到了。给你。现在告诉那疯矮人从今以后离药剂师远点。*啊啾！*~ [OH90950]
@90951  = ~*啊啾！*药剂师乐意帮忙。自从那该死的半精灵攻击我们后，我们就为这个目的研制了一种特殊毒药。非常强力。我记得它就在这来着……在这。~ [OH90951]
@90952  = ~贝罗古尔普和药剂师告诉我，小丑抓他们时伤了药剂师。~
@90953  = ~我说服贝罗古尔普，他卖药水给角斗士应该得到补偿。~
@90954  = ~我从贝罗古尔普和药剂师那得到用于小丑的毒药。他们说已经研制了一段时间，表示它非常强力。~
@90955  = ~贝罗古尔普和药剂师提到，大厨总想炖药剂师。~
@90956  = ~厨师太多

我从贝罗古尔普和药剂师那弄到了些树菌粉。~
@90957  = ~我从贝罗古尔普那得到一片药剂师的肉。~
@90958  = ~我从贝罗古尔普和药剂师那里得到了老年镇静药膏。~
@90959  = ~树菌遍布幽暗地域，常被用来代替普通木材。它品种众多，性质各异。

数据资料：

重量：1~
@90960  = ~树菌粉~
@90961  = ~树皮术药水~
@90962  = ~这瓶药水产生和同名法术一样的效果。

数据资料：

-防御等级：3
-对死亡的豁免检定：+1
-对法杖的豁免检定：+1
-对变形的豁免检定：+1
-对喷吐的豁免检定：+1

重量：1~
@90963  = ~老年镇静药膏~
@90964  = ~这种药膏会暂时稳定老年痴呆早期患者的心智。

数据资料：

重量：1~
@90965  = ~药剂师肉片~
@90966  = ~这是贝罗古尔普的蕈菇人朋友，药剂师的一片肉。

数据资料：

重量：1~
@90967  = ~药剂师的毒药~
@90968  = ~这是一瓶药剂师为你制作，用于小丑的强力毒药。

数据资料：

重量：0~
@90969  = ~莲花根~
@90970  = ~这是莲花根，可用于毒药。

数据资料：

重量：1~
@90971  = ~白醋~
@90972  = ~这种蒸馏醋用于药水、医疗和毒药。

数据资料：

重量：1~
@90973  = ~鼠粪~
@90974  = ~有人会花钱买鼠粪的原因还未知。

数据资料：

重量：1~
@90975  = ~哦，你好啊，<CHARNAME>。如果你在找塔特尔，他通常在商人区。~ [OH90975]
@90976  = ~我其实是来找你谈谈。~
@90977  = ~谢谢。我会到那里找他。~
@90978  = ~我？谈什么？塔特尔才是管事的。~ [OH90978]
@90979  = ~你在这里究竟过得怎样？~
@90980  = ~我想要些关于管理这地方的人的情报。~
@90981  = ~那或许我到底还是要找他。告辞。~
@90982  = ~塔特尔喜欢管它叫“粗活”。基本上，那是运营这地方需要的一切——跟踪存货，订购补给，安排表演者住宿，当他们被杀时确保腾出他们的房间，嗯，我是说，他们不再需要服务。还有管理卫兵、阻止厨师互相残杀……诸如此类。~ [OH90982]
@90983  = ~听起来关于运营这地方的人，你也许有些好情报。~
@90984  = ~换句话说，你是奴隶。帮我策划起义。~
@90985  = ~我需要安排一次和你认识的卫兵队长的会面。~
@90986  = ~我一直在考虑你的起义主意。我加入。~
@90987  = ~我得走了。容我告退。~
@90988  = ~你说的是谁？~ [OH90988]
@90989  = ~塔特尔。~
@90990  = ~德纳顿。~
@90991  = ~德纳顿的佣兵。~
@90992  = ~我倾向于不去想我的表弟。他不放过每一个打击我的机会！我厌倦了！~ [OH90992]
@90993  = ~他对你为什么这么恶劣？~
@90994  = ~他是怎么当上管事的？~
@90995  = ~关于德纳顿呢？~
@90996  = ~关于那帮佣兵？~
@90997  = ~我得走了。容我告退。~
@90998  = ~他是个没安全感的小不点，也理当如此。他没有我什么都不是，而他知道这点。他既没有兴趣，又缺乏训练来妥善管理这地方。~ [OH90998]
@90999  = ~小不点？可你也是半身人啊！~
@91000  = ~那么，他是如何当上管事的？~
@91001  = ~你有时间回答其他问题吗？~
@91002  = ~你以为半身人都是“小不点”？你错了。半身人都不高，但即使以半身人标准也有小不点。塔特尔比我整整矮半呎。在鲁伦，我们还是孩子时，人人都取笑他这么矮。也许那就是为什么，他现在这么致力于向人们显示他是怎样的“大人物”。~ [OH91002]
@91003  = ~那么，他是怎样当上管事的？~
@91004  = ~捧臭脚和背刺的结合。那些品质使他成为德纳顿的完美工具，算他好运。不然他活不过竞技场的开场白。~ [OH91004]
@91005  = ~所以你们俩也是奴隶？~
@91006  = ~哦，是的。别给塔特尔的傲慢骗了。他也带着锁链，和我们一样。不是说他没影响。他专注于拍德纳顿的马屁，借此青云直上。而他绝对能让那些他敌视的人过得很惨。我要是你就不会惹他。~ [OH91006]
@91007  = ~他对你为什么这么恶劣？~
@91008  = ~他的话在这是法律。惹到他，你的日子会很不好过……或者更可能的，非常短暂。~ [OH91008]
@91009  = ~是的，但他是谁，来自哪里？~
@91010  = ~那塔特尔呢？~
@91011  = ~我对他了解不多。德纳顿不常进角斗士区。塔特尔几乎是唯一接近他的。~ [OH91011]
@91012  = ~他是个红袍法师，这我知道，我猜他在塞恩有点影响力。他有个非常强大的后台，但那会是谁——或者什么——我毫无头绪。~ [OH91012]
@91013  = ~位面猎人。他们可以比作德纳顿的铁手握的剑。别误会。德纳顿是个强大法师，但要不是猎人，他没机会控制带到这里的怪物和角斗士。但我已经说太多了。我们继续吧。~ [OH91013]
@91014  = ~我会忘了我听到的。如果你聪明，就忘了你说过的。德纳顿的耳目无处不在。自己小心。~ [OH91014]
@91015  = ~你在这究竟做什么呢？~
@91016  = ~给我讲讲运营这里的人。~
@91017  = ~当然。~ [OH91017]
@91018  = ~你在这究竟做什么呢？~
@91019  = ~我想了解运营这里的人。~
@91020  = ~换句话说，你是奴隶。帮我策划起义。~
@91021  = ~我需要安排一次和你熟识的卫兵队长的会面。~
@91022  = ~我考虑过你的起义主意。我加入。~
@91023  = ~我们需要什么让起义成功？~
@91024  = ~现在不行。容我告退。~
@91025  = ~又见面了，<CHARNAME>。我能帮你什么？~ [OH91025]
@91026  = ~嘘！你先前问过计划起义。这让我思考。这会很难，但基于你目前为止在竞技场的表现，你也许正能让它成功。~ [OH91026]
@91027  = ~我有兴趣。继续。~
@91028  = ~我怎么知道你不是陷害我？~
@91029  = ~我真的再没兴趣了。~
@91030  = ~嘘，<CHARNAME>。我想问你点事。我们都听过你怎样击败贝洛斯和赢得自由。我承认之前怀疑过。但你在竞技场的成功让我觉得传说也许是真的。你有兴趣再次得到自由吗？~ [OH91030]
@91031  = ~当然。~
@91032  = ~对你有什么好处？~
@91033  = ~我起初有，但改变主意了。这地方没那么坏。这里有种……明确感很吸引我。~
@91034  = ~好极了！那我们合伙，有一个条件。不能伤害塔特尔。~ [OH91034]
@91035  = ~你要保护表弟，即使经过他对你做的一切？~
@91036  = ~成交。现在我们做什么？~
@91037  = ~抱歉，但我不能保证。~
@91038  = ~血浓于水。我需要你保证他不受伤害。~ [OH91038]
@91039  = ~成交。现在我们做什么？~
@91040  = ~抱歉。这我不能保证。~
@91041  = ~呃，当你推翻德纳顿时我的自由？我在外面有些东西要找，但我首先要到外面。但那不关你的事。你有兴趣吗？~ [OH91041]
@91042  = ~任何起义都要面对德纳顿本人、他的位面猎人、还有卫兵。恐怕，德纳顿必须死——他对这地方投入太多，不会放手。但我们也许能剥离他的基础。~ [OH91042]
@91043  = ~我和多数卫兵友好。当然，那不意味他们就会为我放下武器，但我能安排你和一个队长会面。说服他支持起义，他的部下也会。那要非常能说会道，或者钱比德纳顿保持他们忠诚的报酬更多。~ [OH91043]
@91044  = ~至于位面猎人，尽管牢骚多，但飞翼忠于德纳顿。而她牢牢掌控手下。最好在任何起义开始前解决他们。你要怎么做到，我没确切办法，但我知道你要从哪开始。~ [OH91044]
@91045  = ~猎人区在楼上。我从没获准上楼，但第一步是上楼梯。不幸的是，唯一的通道是敲门，然后说服打开观察孔的卫兵放你过去。不容易。他们只放密探过去。~ [OH91045]
@91046  = ~密探？~
@91047  = ~不许别的人通过？真的？~
@91048  = ~密探是位面猎人的奴隶。塔特尔恨他们，因为他控制不了他们。他们很容易和其他奴隶区分。他们穿鲜艳的外衣，让门卫在暗处区分他们和别人。~ [OH91048]
@91049  = ~好吧，所以绝对不许别人通过？~
@91050  = ~继续。~
@91051  = ~其实，那不是真的。我表弟，塔特尔，可以通过。他有自己的钥匙，所以他不用敲门。密探之外就只有他。~ [OH91051]
@91052  = ~密探是谁？~
@91053  = ~等你上了楼梯，小心点。据说上楼的路遍布各种陷阱。只有非常出色——或者非常幸运——的人能无伤通过。之后，你需要靠自己的机智生存。~ [OH91053]
@91054  = ~我需要你安排一次和你认识的卫兵队长的会面。~
@91055  = ~如果我要和位面猎人战斗，我需要你对他们所知的一切。~
@91056  = ~谢谢。但我需要谈谈别的事。~
@91057  = ~好吧，那我就开始了。容我告退。~
@91058  = ~需要谨慎。我会等待，直到机会出现，等一切成熟再通知你。在那之前，照常做你的事。~ [OH91058]
@91059  = ~好吧。与此同时，我需要尽可能多你知道的位面猎人的情报。~
@91060  = ~谢谢，但我还需要知道别的事。~
@91061  = ~好吧，那我就开始了。~
@91062  = ~飞翼的团队有六个成员：多玛姆斯、塞斯克·昆、波尔·皮鲁斯、小丑、班诺·卡萨泽尔和飞翼她本人。~ [OH91062]
@91063  = ~告诉我飞翼的事。~
@91064  = ~你对多玛姆斯了解多少？~
@91065  = ~塞斯克·昆。你能告诉我些什么他的事？~
@91066  = ~告诉我所有你对波尔·皮鲁斯的了解。~
@91067  = ~小丑是诗人，对吧？告诉我她的事。~
@91068  = ~班诺·卡萨泽尔。他有什么故事？~
@91069  = ~忘了猎人。我想知道别的事。~
@91070  = ~飞翼是团队里最有防备的。除了德纳顿和部下，她几乎不和人说话。我知道她是臭名昭著的血战的老兵，参加过其中最激烈的一些战斗。她极其训练有素，极端危险。~ [OH91070]
@91071  = ~多玛姆斯呢？~
@91072  = ~塞斯克·昆呢？~
@91073  = ~波尔·皮鲁斯呢？~
@91074  = ~小丑呢？~
@91075  = ~班诺·卡萨泽尔呢？~
@91076  = ~我们现在谈点别的。~
@91077  = ~飞翼呢？~
@91078  = ~一个无可救药的坏蛋。多玛姆斯，或他逼我们称呼的，塞恩竞技场的大维齐尔，是个火巨灵。他是那种享受工作到从不干活的人。他反复无常、残忍，而且贪恋来自压迫和监禁他人的金钱和权力。~ [OH91078]
@91079  = ~塞斯克·昆和波尔·皮鲁斯相互痛恨。我猜他们在几年前一场战争中分属对立方。皮鲁斯乐于提醒塞斯克属于败方。塞斯克有皮鲁斯的污点。我不确定是什么，但我见过塞斯克把皮鲁斯转得要吐血。另外，塞斯克是只火蜥蜴。~ [OH91079]
@91080  = ~皮鲁斯是个红袍法师，卡署斯的狂信徒。他和塞斯克·昆相互痛恨。据我猜想，他们在几年前一场战争中分属对立方。皮鲁斯从不放过提醒塞斯克是败方的机会。但有皮鲁斯的污点。我不确定是什么，但我见过塞斯克把皮鲁斯转得要吐血。~ [OH91080]
@91081  = ~啊，小丑。这帮人中最善变的，也是最友好的。她时不时溜到下面来。她爱喝酒，总在找新奇的酒。爱酒使她和沃格林有共同语言。我经常看到他们在一起。~ [OH91081]
@91082  = ~一个字：怪。他是个有自我意识的精金魔像。谣传他曾是一个极为强大的法师，他通过在身体死亡时，把自己的意识植入魔像身体，从而骗过死神。如果这是真的，他在转变时失去了多数能力。现在他只会砸烂东西，和你能指望精金魔像的一样。~ [OH91082]
@91083  = ~呃，就像我说过的，塞斯克·昆和波尔·皮鲁斯相互痛恨。除此之外，塞斯克是只火蜥蜴。~
@91084  = ~呃，就像我说过的，波尔·皮鲁斯和塞斯克·昆相互痛恨。除此之外，皮鲁斯是红袍法师和卡署斯的狂信徒。~
@91085  = ~你没有。我不知道向你证明自己的任何合理方式。与此同时，你没法证明你上次提问不是陷害我。我不会告诉德纳顿，但这里自由的机会稍纵即逝。你加入吗？~ [OH91085]
@91086  = ~真可惜。呃，看来我近期哪也去不了。如果你改变主意，再来找我。~ [OH91086]
@91087  = ~我还想和你谈谈。~
@91088  = ~我会记住的。告辞。~
@91089  = ~你没有。另一选择是你继续战斗直到死在竞技场。现在你加入吗？~ [OH91089]
@91090  = ~今<DAYNIGHTALL>我遇到一个老熟人，半兽人多恩·伊尔-可汗潜伏在阿斯卡特拉至热之心神殿外。他显然不怀好意。不管他有什么计划，我都不想扯上关系。~
@91091  = ~今<DAYNIGHTALL>我遇到一个名叫多恩·伊尔-可汗的凶恶半兽人，潜伏在阿斯卡特拉至热之心神殿外。我不知道他有什么计划，说实话我也不想知道。~
@91092  = ~今<DAYNIGHTALL>我遇到多恩·伊尔-可汗。凶恶的半兽人潜伏在阿斯卡特拉至热之心神殿外，等待机会杀死一个叫博拉德·火颚的牧师。多恩的力量会使他成为有价值的盟友——我相信我应该在此事中帮他。~
@91093  = ~今<DAYNIGHTALL>我碰上老熟人，半兽人多恩·伊尔-可汗，潜伏在阿斯卡特拉至热之心神殿外。他告诉我，他的主人命令他杀死一个叫博拉德·火颚的牧师。听起来不错。~
@91094  = ~是的，<PRO_SIRMAAM>？我能帮你吗？~
@91095  = ~很好。~
@91096  = ~啊！欢迎，欢迎！是什么好运把你们带到我这简陋的神殿？~
@91097  = ~救命！救我，来人啊！~
@91098  = ~很高兴看到有人在这里过得开心。~
@91099  = ~哦。呃，要是我能做什么的话，请别犹豫告诉我。~
@91100  = ~你对什么是好运观点奇特，朋友。~
@91101  = ~我没事，谢谢。~
@91102  = ~告诉我你在这做什么，半身人，不然我就把你砍成两半！~
@91103  = ~恐怕我需要的帮助远超出你的渺小能力。~
@91104  = ~呃，你知道人们说的。幸运眷顾勇者。呃，活下来的角斗士说的。剩下的只能躺在地上喘气，直到怪物处理他们。~
@91105  = ~你可以死了，狗！~
@91106  = ~你真是帮倒忙。~
@91107  = ~命运不偏爱任何人。这是命运最大的失败之一。~
@91108  = ~你想逗我开心吗？如果是的，再加把劲。~
@91109  = ~哦是的，天哪！我忘我了，是不是？~
@91110  = ~数学幽默，不错。但我要是你，会把那敌意留到竞技场。~
@91111  = ~我是莫尔扎，太摩拉的牧师。我为我们的斗士提供治疗、神殿服务和灵魂指导。我也保管仪式用酒，并且努力阻止其他牧师互相残杀。~
@91112  = ~治疗！正是我要找的人。~
@91113  = ~我能看看你的神殿服务吗？~
@91114  = ~我可以问你几个问题吗？~
@91115  = ~我得走了。~
@91116  = ~要不是有卫兵，他们现在早把整个神殿毁了。~
@91117  = ~听起来你不在乎他们。~
@91118  = ~我很遗憾听到这个。我们谈点别的吧。~
@91119  = ~住手！停止这种疯狂！~ [OH91119]
@91120  = ~这疯狂由你的死终结，火颚！早一秒都不行。~ [OH91120]
@91121  = ~你真的很享受这样，不是吗，<CHARNAME>？~
@91122  = ~你是半身人？更像个脑残。你说完了没？~
@91123  = ~单独说，拉里斯和库蕾尔没那么坏。但把他们放到一起，就像把甜菜汁扔到枭熊身上。~
@91124  = ~亵渎者！杀了他们！~ [OH91124]
@91125  = ~甜菜汁在枭熊身上？~
@91126  = ~我们能谈点别的吗？~
@91127  = ~所有人站开。我要对付这个罪犯。~ [OH91127]
@91128  = ~非常好。~
@91129  = ~我要在变得和你一样疯之前离开！~
@91130  = ~是的！这是疯狂！可怜、可怜的科林——哦你对这如此残酷的世界来说太美丽了。~
@91131  = ~相信我。这不光彩。~
@91132  = ~我们才刚开始，牧师。~
@91133  = ~了解。我们谈点别的。~
@91134  = ~除掉博拉德·火颚后，多恩要求杀掉神殿里所有人。这件事令人不快，特别是擦洗。~
@91135  = ~我相信你的话。再会。~
@91136  = ~除掉博拉德·火颚后，多恩要求杀掉神殿里所有人。我劝说他放过那些还活着的人，这也许不是最明智的选择。多恩肯定会被认出是犯人，也会导致来自当局的不必要关注。~
@91137  = ~为我们勇敢的斗士做点什么！~
@91138  = ~哎，是的！这是我们的库存。~
@91139  = ~竞技场消磨了哪怕最乐观的情绪。告诉我你有什么烦恼。~
@91140  = ~我最近刚逃离一个类似的竞技场。现在我又回到奴役下。~
@91141  = ~我想成为竞技场上最赚钱的表演者。~
@91142  = ~这监禁让我发狂。我打算一有机会就逃跑。~
@91143  = ~多恩把至热之心神殿变成了停尸房。这半兽人的嗜血看来没有止境。我不能再冒险留他在身边——他只会给我带来麻烦。~
@91144  = ~我是被俘的。这里多数人都是。这就是生活。不幸对足够勇敢去争取的人不过突出了更大的好运。~
@91145  = ~振奋人心的态度。多告诉我些你被俘的事。~
@91146  = ~多恩和我把至热之心神殿变成了血腥的屠宰屋。如果这种事是他的特点，那他是我欣赏的罪犯。~
@91147  = ~我想谈点别的。~
@91148  = ~呵。一个失去女神宠爱的失败牧师的可悲借口。~
